"city_name","lat","lon","country_name","country_code"
"Braunschweig","52.2689","10.5268","Germany","de"
"Krefeld","51.3388","6.5853","Germany","de"
"Halle","51.4970","11.9688","Germany","de"
"Kiel","54.3233","10.1228","Germany","de"
"Magdeburg","52.1205","11.6276","Germany","de"
"Oberhausen","51.4963","6.8638","Germany","de"
"Freiburg im Breisgau","47.9990","7.8421","Germany","de"
"Lübeck","53.8655","10.6866","Germany","de"
"Erfurt","50.9848","11.0299","Germany","de"
"Hagen","51.3671","7.4633","Germany","de"
"Rostock","54.0924","12.0991","Germany","de"
"Graz","47.0707","15.4395","Austria","at"
"Linz","48.3069","14.2858","Austria","at"
"Mainz","49.9929","8.2473","Germany","de"
"Kassel","51.3127","9.4797","Germany","de"
